-0.910767,0.631714,0.259155
-0.912964,0.692749,0.153442
-0.907471,0.737793,0.085205
-0.886475,0.776001,0.027344
-0.851929,0.831177,-0.080933
-0.855103,0.838257,-0.128174
-0.859863,0.844116,-0.191162
-0.873169,0.849121,-0.26355
-0.917725,0.862305,-0.406982
-0.921387,0.87793,-0.476929
-0.905762,0.918091,-0.578979
-0.889038,0.954224,-0.638306
-0.864502,1.039307,-0.780518
-0.857788,1.074097,-0.811157
-0.86438,1.111206,-0.864868
-0.867432,1.154175,-0.907349
-0.909546,1.245239,-1.018555
-0.934082,1.295288,-1.06958
-0.901733,1.355225,-1.128784
-0.606323,1.406372,-1.05957
-0.38623,1.569702,-1.244629
-0.650391,1.634277,-1.503174
-0.98645,1.646362,-1.614258
-1.237671,1.675049,-1.677856
-1.206299,1.873291,-1.744629
-1.004883,2.012939,-1.756958
-0.781372,2.134277,-1.693359
-0.602417,2.240601,-1.629272
-0.505127,2.399414,-1.549072
-0.557007,2.445312,-1.476807
-0.639893,2.477539,-1.407715
-0.704346,2.507568,-1.330322
-0.783569,2.568604,-1.168335
-0.7948,2.594482,-1.074829
-0.812256,2.598389,-0.981567
-0.855591,2.596191,-0.900146
-0.912354,2.555542,-0.76709
-0.918701,2.51416,-0.706543
-0.912109,2.463501,-0.654785
-0.894043,2.393799,-0.609863
-0.974243,2.188354,-0.598022
-1.02063,2.055542,-0.604126
-1.067383,1.912354,-0.603882
-1.141235,1.762817,-0.626465
-1.368774,1.434204,-0.679077
-1.435791,1.273071,-0.678467
-1.544312,1.115234,-0.678345
-1.58313,0.980835,-0.683838
-1.578735,0.74231,-0.677856
-1.520142,0.638794,-0.625366
-1.473389,0.548706,-0.604736
-1.445801,0.460693,-0.583496
-1.394775,0.29126,-0.507568
-1.405518,0.210083,-0.469849
-1.418701,0.127319,-0.414185
-1.474487,0.04895,-0.390991
-1.576782,-0.101196,-0.30603
-1.649658,-0.171875,-0.255371
-1.734131,-0.241821,-0.204712
-1.796753,-0.304565,-0.122925
-1.919067,-0.405762,0.001709
-1.987915,-0.450562,0.076416
-2.056274,-0.486572,0.157715
-2.169922,-0.510742,0.190552
-2.358643,-0.560425,0.371338
-2.49353,-0.580444,0.42981
-2.663696,-0.593872,0.503174
-2.821655,-0.589844,0.531006
-3.197632,-0.592163,0.666382
-3.300903,-0.583374,0.800659
-3.365723,-0.561035,0.916138
-3.354614,-0.528076,1.091187
-3.15979,-0.382202,1.315186
-2.991089,-0.296631,1.404297
-2.794922,-0.227783,1.519531
-2.620728,-0.14917,1.572876
-2.276123,-0.109375,1.788818
-2.095825,-0.081787,1.820557
-1.948364,-0.068237,1.783691
-1.777466,-0.091064,1.838257
-1.597168,-0.169922,1.849609
-1.523315,-0.234863,1.819702
-1.405029,-0.33374,1.861084
-1.283325,-0.446411,1.954346
-1.195557,-0.608643,1.878662
-1.178223,-0.667236,1.724609
-1.147949,-0.767212,1.727539
-1.018555,-0.813721,1.625
-0.864014,-0.898193,1.222412
-0.945068,-1.02417,1.290649
-1.080078,-1.141724,1.359497
-1.190186,-1.213379,1.394897
-1.197266,-1.19104,1.249512
-1.127686,-1.134888,1.147339
-1.074585,-1.086426,1.09082
-1.053101,-1.043823,1.067993
-1.108521,-0.935669,1.031494
-1.141846,-0.867065,1.000854
-1.178467,-0.778198,0.953247
-1.209839,-0.691284,0.891968
-1.194336,-0.420044,0.758179
-1.166016,-0.328125,0.713867
-1.123413,-0.246826,0.706299
-1.115967,-0.185791,0.746582
-1.280151,-0.021973,0.828125
-1.28186,0.115234,0.751099
-1.093384,0.253174,0.742065
-0.877441,0.36792,0.763428
-0.480469,0.536865,0.854858
-0.398804,0.586426,0.850952
-0.394165,0.604126,0.877319
-0.406372,0.610229,0.833496
-0.528076,0.550537,0.776001
-0.59021,0.513062,0.717773
-0.628174,0.484375,0.630859
-0.609985,0.448608,0.580444
-0.41272,0.409424,0.488403
-0.301147,0.392578,0.437988
-0.214966,0.366943,0.411377
-0.137085,0.338379,0.392578
0.024414,0.293457,0.330933
0.102539,0.274292,0.313232
0.166748,0.25708,0.317749
0.220093,0.248779,0.324707
0.296021,0.30896,0.235596
0.348633,0.336792,0.236084
0.413452,0.356323,0.269775
0.452515,0.386353,0.272827
0.484131,0.470093,0.201172
0.472412,0.507446,0.149292
0.442139,0.549561,0.071899
0.405151,0.58728,-0.010498
0.32312,0.62854,-0.102539
0.278687,0.655396,-0.145508
0.229126,0.688721,-0.188965
0.201416,0.732056,-0.225586
0.170166,0.831665,-0.28833
0.167114,0.890869,-0.318115
0.155884,0.952393,-0.341553
0.12085,1.015137,-0.376343
0.138428,1.155884,-0.386963
0.09436,1.227539,-0.401489
